"ISIC Rev. 4 label","Code","Section (1-digit)","Division (2-digit)","Group (3-digit)","Inclusions","Exclusions"
"Insurance","651","K Financial and insurance activities","65 Insurance, reinsurance and pension funding, except compulsory social security",,"This group includes life insurance and life reinsurance with or without a substantial savings element and other non-life insurance.",
"Life insurance","6511","K Financial and insurance activities","65 Insurance, reinsurance and pension funding, except compulsory social security","651 Insurance","This class includes:
- underwriting annuities and life insurance policies, disability income insurance policies, and accidental death and dismemberment insurance policies (with or without a substantial savings element).",
"Non-life insurance","6512","K Financial and insurance activities","65 Insurance, reinsurance and pension funding, except compulsory social security","651 Insurance","This class includes:
- provision of insurance services other than life insurance:
* accident and fire insurance
* health insurance
* travel insurance
* property insurance
* motor, marine, aviation and transport insurance
* pecuniary loss and liability ins",
"Reinsurance","652","K Financial and insurance activities","65 Insurance, reinsurance and pension funding, except compulsory social security",,"See class 6520.",
"Reinsurance","6520","K Financial and insurance activities","65 Insurance, reinsurance and pension funding, except compulsory social security","652 Reinsurance","This class includes:
- activities of assuming all or part of the risk associated with existing insurance policies originally underwritten by other insurance carriers",
"Pension funding","653","K Financial and insurance activities","65 Insurance, reinsurance and pension funding, except compulsory social security",,"See class 6530.",
"Pension funding","6530","K Financial and insurance activities","65 Insurance, reinsurance and pension funding, except compulsory social security","653 Pension funding","This class includes legal entities (i.e. funds, plans and/or programmes) organized to provide retirement income benefits exclusively for the sponsor's employees or members. This includes pension plans with defined benefits, as well as individual plans whe","This class excludes:
- management of pension funds, see 6630
- compulsory social security schemes, see 8430"
"Activities auxiliary to financial service and insurance activities","66","K Financial and insurance activities",,,"This division includes the provision of services involved in or closely related to financial service activities, but not themselves providing financial services. The primary breakdown of this division is according to the type of financial transaction or f",
"Activities auxiliary to financial service activities, except insurance and pension funding","661","K Financial and insurance activities","66 Activities auxiliary to financial service and insurance activities",,"This group includes the furnishing of physical or electronic marketplaces for the purpose of facilitating the buying and selling of stocks, stock options, bonds or commodity contracts.",
"Administration of financial markets","6611","K Financial and insurance activities","66 Activities auxiliary to financial service and insurance activities","661 Activities auxiliary to financial service activities, except insurance and pension funding","This class includes:
- operation and supervision of financial markets other than by public authorities, such as:
* commodity contracts exchanges
* futures commodity contracts exchanges
* securities exchanges
* stock exchanges
* stock or commodity options ",
"Security and commodity contracts brokerage","6612","K Financial and insurance activities","66 Activities auxiliary to financial service and insurance activities","661 Activities auxiliary to financial service activities, except insurance and pension funding","This class includes:
- dealing in financial markets on behalf of others (e.g. stock broking) and related activities
- securities brokerage
- commodity contracts brokerage 
- activities of bureaux de change etc.","This class excludes:
- dealing in markets on own account, see 6499
- portfolio management, on a fee or contract basis, see 6630"
"Other activities auxiliary to financial service activities","6619","K Financial and insurance activities","66 Activities auxiliary to financial service and insurance activities","661 Activities auxiliary to financial service activities, except insurance and pension funding","This class includes activities auxiliary to financial service activities not elsewhere classified, such as:
- financial transaction processing and settlement activities, including for credit card transactions
- investment advisory services 
- activities o","This class excludes:
- activities of insurance agents and brokers, see 6622
- management of funds, see 6630"
"Activities auxiliary to insurance and pension funding","662","K Financial and insurance activities","66 Activities auxiliary to financial service and insurance activities",,"This group includes acting as agent (i.e. broker) in selling annuities and insurance policies or providing other employee benefits and insurance and pension related services such as claims adjustment and third party administration.",
"Risk and damage evaluation","6621","K Financial and insurance activities","66 Activities auxiliary to financial service and insurance activities","662 Activities auxiliary to insurance and pension funding","This class includes the provision of administration services of insurance, such as assessing and settling insurance claims.

This class includes:
- assessing insurance claims
* claims adjusting
* risk assessing
* risk and damage evaluation
* average and l","This class excludes:
- appraisal of real estate, see 6820
- appraisal for other purposes, see 7490
- investigation activities, see 8030"
"Activities of insurance agents and brokers","6622","K Financial and insurance activities","66 Activities auxiliary to financial service and insurance activities","662 Activities auxiliary to insurance and pension funding","This class includes:
- activities of insurance agents and brokers (insurance intermediaries) in selling, negotiating or soliciting of annuities and insurance and reinsurance policies",
"Other activities auxiliary to insurance and pension funding","6629","K Financial and insurance activities","66 Activities auxiliary to financial service and insurance activities","662 Activities auxiliary to insurance and pension funding","This class includes:
- activities involved in or closely related to insurance and pension funding (except claims adjusting and activities of insurance agents):
* salvage administration
* actuarial services","This class excludes:
- marine salvage activities, see 5222"
"Fund management activities","663","K Financial and insurance activities","66 Activities auxiliary to financial service and insurance activities",,"See class 6630.",
"Fund management activities","6630","K Financial and insurance activities","66 Activities auxiliary to financial service and insurance activities","663 Fund management activities","This class includes portfolio and fund management activities on a fee or contract basis, for individuals, businesses and others.

This class includes:
- management of pension funds
- management of mutual funds
- management of other investment funds",
"Real estate activities","L","L Real estate activities",,,"This section includes acting as lessors, agents and/or brokers in one or more of the following: selling or buying real estate, renting real estate, providing other real estate services such as appraising real estate or acting as real estate escrow agents.",
"Real estate activities","68","L Real estate activities",,,"See section L.",
"Real estate activities with own or leased property","681","L Real estate activities","68 Real estate activities",,"See class 6810.",
"Real estate activities with own or leased property","6810","L Real estate activities","68 Real estate activities","681 Real estate activities with own or leased property","This class includes:
- buying, selling, renting and operating of self-owned or leased real estate, such as:
* apartment buildings and dwellings
* non-residential buildings, including exhibition halls, self-storage facilities, malls and shopping centers
* ","This class excludes:
- development of building projects for sale, see 4100
- subdividing and improving of land, see 4290
- operation of hotels, suite hotels and similar accommodation, see 5510
- operation of campgrounds, trailer parks and similar accommod"
"Real estate activities on a fee or contract basis","682","L Real estate activities","68 Real estate activities",,"See class 6820.",
"Real estate activities on a fee or contract basis","6820","L Real estate activities","68 Real estate activities","682 Real estate activities on a fee or contract basis","This class includes the provision of real estate activities on a fee or contract basis including real estate related services.

This class includes:
- activities of real estate agents and brokers
- intermediation in buying, selling and renting of real est","This class excludes:
- legal activities, see 6910
- facilities support services, see 8110
- management of facilities, such as military bases, prisons and other facilities (except computer facilities management), see 8110"
"Professional, scientific and technical activities","M","M Professional, scientific and technical activities",,,"This section includes specialized professional, scientific and technical activities. These activities require a high degree of training, and make specialized knowledge and skills available to users.",
"Legal and accounting activities","69","M Professional, scientific and technical activities",,,"This division includes legal representation of one party's interest against another party, whether or not before courts or other judicial bodies by, or under supervision of, persons who are members of the bar, such as advice and representation in civil ca",
"Legal activities","691","M Professional, scientific and technical activities","69 Legal and accounting activities",,"See class 6910.",
"Legal activities","6910","M Professional, scientific and technical activities","69 Legal and accounting activities","691 Legal activities","This class includes:
- legal representation of one party's interest against another party, whether or not before courts or other judicial bodies by, or under supervision of, persons who are members of the bar:
* advice and representation in civil cases
* ","This class excludes:
- law court activities, see 8423"
"Accounting, bookkeeping and auditing activities; tax consultancy","692","M Professional, scientific and technical activities","69 Legal and accounting activities",,"See class 6920.",
"Accounting, bookkeeping and auditing activities; tax consultancy","6920","M Professional, scientific and technical activities","69 Legal and accounting activities","692 Accounting, bookkeeping and auditing activities; tax consultancy","This class includes:
- recording of commercial transactions from businesses or others
- preparation or auditing of financial accounts
- examination of accounts and certification of their accuracy
- preparation of personal and business income tax returns
-","This class excludes:
- data-processing and tabulation activities, see 6311
- management consultancy activities, such as design of accounting systems, cost accounting programmes, budgetary control procedures, see 7020
- bill collection, see 8291"
"Activities of head offices; management consultancy activities","70","M Professional, scientific and technical activities",,,"This division includes the provision of advice and assistance to businesses and other organizations on management issues, such as strategic and organizational planning; financial planning and budgeting; marketing objectives and policies; human resource po",
"Activities of head offices","701","M Professional, scientific and technical activities","70 Activities of head offices; management consultancy activities",,"See class 7010.",
"Activities of head offices","7010","M Professional, scientific and technical activities","70 Activities of head offices; management consultancy activities","701 Activities of head offices","This class includes the overseeing and managing of other units of the company or enterprise; undertaking the strategic or organizational planning and decision making role of the company or enterprise; exercising operational control and manage the day-to-d","This class excludes:
- activities of holding companies, not engaged in managing, see 6420"
"Management consultancy activities","702","M Professional, scientific and technical activities","70 Activities of head offices; management consultancy activities",,"See class 7020.",
"Management consultancy activities","7020","M Professional, scientific and technical activities","70 Activities of head offices; management consultancy activities","702 Management consultancy activities","This class includes the provision of advice, guidance and operational assistance to businesses and other organizations on management issues, such as strategic and organizational planning; decision areas that are financial in nature; marketing objectives a","This class excludes:
- design of computer software for accounting systems, see 6201
- legal advice and representation, see 6910
- accounting, bookkeeping and auditing activities, tax consulting, see 6920
- architectural, engineering and other technical ad"
"Architectural and engineering activities; technical testing and analysis","71","M Professional, scientific and technical activities",,,"This division includes the provision of architectural services, engineering services, drafting services, building inspection services and surveying and mapping services. It also includes the performance of physical, chemical, and other analytical testing ",
"Architectural and engineering activities and related technical consultancy","711","M Professional, scientific and technical activities","71 Architectural and engineering activities; technical testing and analysis",,"See class 7110.",
"Architectural and engineering activities and related technical consultancy","7110","M Professional, scientific and technical activities","71 Architectural and engineering activities; technical testing and analysis","711 Architectural and engineering activities and related technical consultancy","This class includes the provision of architectural services, engineering services, drafting services, building inspection services and surveying and mapping services and the like.

This class includes:
- architectural consulting activities:
* building des","This class excludes:
- test drilling in connection with mining operations, see 0910, 0990
- development or publishing of associated software, see 5820, 6201
- activities of computer consultants, see 6202, 6209
- technical testing, see 7120
- research and "
"Technical testing and analysis","712","M Professional, scientific and technical activities","71 Architectural and engineering activities; technical testing and analysis",,"See class 7120.",
"Technical testing and analysis","7120","M Professional, scientific and technical activities","71 Architectural and engineering activities; technical testing and analysis","712 Technical testing and analysis","This class includes:
- performance of physical, chemical and other analytical testing of all types of materials and products (see below for exceptions):
* acoustics and vibration testing
* testing of composition and purity of minerals etc.
* testing activ","This class excludes:
- testing of animal specimens, see 7500
- medical laboratory testing, see 8690"
"Scientific research and development","72","M Professional, scientific and technical activities",,,"This division includes the activities of three types of research and development: 1) basic research: experimental or theoretical work undertaken primarily to acquire new knowledge of the underlying foundations of phenomena and observable facts, without pa",
"Research and experimental development on natural sciences and engineering","721","M Professional, scientific and technical activities","72 Scientific research and development",,"See class 7210.",
"Research and experimental development on natural sciences and engineering","7210","M Professional, scientific and technical activities","72 Scientific research and development","721 Research and experimental development on natural sciences and engineering","This class includes:
- research and experimental development on natural science and engineering:
* research and development on natural sciences
* research and development on engineering and technology
* research and development on medical sciences
* resea",
"Research and experimental development on social sciences and humanities","722","M Professional, scientific and technical activities","72 Scientific research and development",,"See class 7220.",
"Research and experimental development on social sciences and humanities","7220","M Professional, scientific and technical activities","72 Scientific research and development","722 Research and experimental development on social sciences and humanities","This class includes:
- research and development on social sciences
- research and development on humanities
- interdisciplinary research and development, predominantly on social sciences and humanities","This class excludes:
- market research, see 7320"
"Advertising and market research","73","M Professional, scientific and technical activities",,,"This division includes the creation of advertising campaigns and placement of such advertising in periodicals, newspapers, radio and television, or other media as well as the design of display structures and sites.",
"Advertising","731","M Professional, scientific and technical activities","73 Advertising and market research",,"See class 7310.",
"Advertising","7310","M Professional, scientific and technical activities","73 Advertising and market research","731 Advertising","This class includes the provision of a full range of advertising services (i.e. through in-house capabilities or subcontracting), including advice, creative services, production of advertising material, media planning and buying.

This class includes:
- c","This class excludes:
- publishing of advertising material, see 5819
- production of commercial messages for radio, television and film, see 5911
- public-relations activities, see 7020
- market research, see 7320
- graphic design activities, see 7410
- ad"
"Market research and public opinion polling","732","M Professional, scientific and technical activities","73 Advertising and market research",,"See class 7320.",
"Market research and public opinion polling","7320","M Professional, scientific and technical activities","73 Advertising and market research","732 Market research and public opinion polling","This class includes:
- investigation into market potential, acceptance and familiarity of products and buying habits of consumers for the purpose of sales promotion and development of new products, including statistical analyses of the results
- investiga",
"Other professional, scientific and technical activities","74","M Professional, scientific and technical activities",,,"This division includes the provision of professional scientific and technical services (except legal and accounting activities; architecture and engineering activities; technical testing and analysis; management and management consultancy activities; rese",
"Specialized design activities","741","M Professional, scientific and technical activities","74 Other professional, scientific and technical activities",,"See class 7410.",
"Specialized design activities","7410","M Professional, scientific and technical activities","74 Other professional, scientific and technical activities","741 Specialized design activities","This class includes:
- fashion design related to textiles, wearing apparel, shoes, jewelry, furniture and other interior decoration and other fashion goods as well as other personal or household goods
- industrial design, i.e. creating and developing desi","This class excludes:
- design and programming of web pages, see 6201
- architectural design, see 7110
- engineering design, i.e. applying physical laws and principles of engineering in the design of machines, materials, instruments, structures, processes "
"Photographic activities","742","M Professional, scientific and technical activities","74 Other professional, scientific and technical activities",,"See class 7420.",
"Photographic activities","7420","M Professional, scientific and technical activities","74 Other professional, scientific and technical activities","742 Photographic activities","This class includes:
- commercial and consumer photograph production:
* portrait photography for passports, schools, weddings etc.
* photography for commercials, publishers, fashion, real estate or tourism purposes
* aerial photography 
* videotaping of e","This class excludes:
- processing motion picture film related to the motion picture and television industries, see 5912
- cartographic and spatial information activities, see 7110"
"Other professional, scientific and technical activities n.e.c.","749","M Professional, scientific and technical activities","74 Other professional, scientific and technical activities",,"See class 7490.",
"Other professional, scientific and technical activities n.e.c.","7490","M Professional, scientific and technical activities","74 Other professional, scientific and technical activities","749 Other professional, scientific and technical activities n.e.c.","This class includes a great variety of service activities generally delivered to commercial clients. It includes those activities for which more advanced professional, scientific and technical skill levels are required, but does not include ongoing, routi","This class excludes:
- wholesale of used motor vehicles by auctioning, see 4510
- online auction activities (retail), see 4791
- activities of auctioning houses (retail), see 4799
- activities of real estate brokers, see 6820
- bookkeeping activities, see"
"Veterinary activities","75","M Professional, scientific and technical activities",,,"This division includes the provision of animal health care and control activities for farm animals or pet animals. These activities are carried out by qualified veterinarians in veterinary hospitals as well as when visiting farms, kennels or homes, in own",
"Veterinary activities","750","M Professional, scientific and technical activities","75 Veterinary activities",,"See class 7500.",
"Veterinary activities","7500","M Professional, scientific and technical activities","75 Veterinary activities","750 Veterinary activities","This class includes:
- animal health care and control activities for farm animals
- animal health care and control activities for pet animals
These activities are carried out by qualified veterinarians when working in veterinary hospitals as well as when ","This class excludes:
- farm animal boarding activities without health care, see 0162
- sheep shearing, see 0162
- herd testing services, droving services, agistment services, poultry caponizing, see 0162
- activities related to artificial insemination, se"
"Administrative and support service activities","N","N Administrative and support service activities",,,"This section includes a variety of activities that support general business operations. These activities differ from those in section M, since their primary purpose is not the transfer of specialized knowledge.",
"Rental and leasing activities","77","N Administrative and support service activities",,,"This division includes the renting and leasing of tangible and non-financial intangible assets, including a wide array of tangible goods, such as automobiles, computers, consumer goods and industrial machinery and equipment to customers in return for a pe",
"Renting and leasing of motor vehicles","771","N Administrative and support service activities","77 Rental and leasing activities",,"See class 7710.",
"Renting and leasing of motor vehicles","7710","N Administrative and support service activities","77 Rental and leasing activities","771 Renting and leasing of motor vehicles","This class includes:
- renting and operational leasing of the following types of vehicles:
* passenger cars (without drivers)
* trucks, utility trailers and recreational vehicles","This class excludes:
- renting or leasing of vehicles or trucks with driver, see 4922, 4923
- financial leasing, see 6491"
"Renting and leasing of personal and household goods","772","N Administrative and support service activities","77 Rental and leasing activities",,"This group includes the renting of personal and household goods as well as renting of recreational and sports equipment and video tapes. Activities generally include short-term renting of goods although in some instances, the goods may be leased for longe",
"Renting and leasing of recreational and sports goods","7721","N Administrative and support service activities","77 Rental and leasing activities","772 Renting and leasing of personal and household goods","This class includes:
- renting of recreational and sports equipment:
* pleasure boats, canoes, sailboats, 
* bicycles
* beach chairs and umbrellas
* other sports equipment
* skis","This class excludes:
- renting of video tapes and disks, see 7722
- renting of other personal and household goods n.e.c., see 7729
- renting of leisure and pleasure equipment as an integral part of recreational facilities, see 9329"
"Renting of video tapes and disks","7722","N Administrative and support service activities","77 Rental and leasing activities","772 Renting and leasing of personal and household goods","This class includes:
- renting of video tapes, records, CDs, DVDs etc.",
"Renting and leasing of other personal and household goods","7729","N Administrative and support service activities","77 Rental and leasing activities","772 Renting and leasing of personal and household goods","This class includes:
- renting of all kinds of household or personal goods, to households or industries (except recreational and sports equipment):
* textiles, wearing apparel and footwear
* furniture, pottery and glass, kitchen and tableware, electrical ","This class excludes:
- renting of cars, trucks, trailers and recreational vehicles without driver, see 7710
- renting of recreational and sports goods, see 7721
- renting of video tapes and disks, see 7722
- renting of motorcycles and caravans without dri"
"Renting and leasing of other machinery, equipment and tangible goods","773","N Administrative and support service activities","77 Rental and leasing activities",,"See class 7730.",
"Renting and leasing of other machinery, equipment and tangible goods","7730","N Administrative and support service activities","77 Rental and leasing activities","773 Renting and leasing of other machinery, equipment and tangible goods","This class includes:
- renting and operational leasing, without operator, of other machinery and equipment that are generally used as capital goods by industries:
* engines and turbines
* machine tools
* mining and oilfield equipment
* professional radio,","This class excludes:
- renting of agricultural and forestry machinery or equipment with operator, see 0161, 0240
- renting of construction and civil engineering machinery or equipment with operator, see division 43
- renting of water-transport equipment w"
"Leasing of intellectual property and similar products, except copyrighted works","774","N Administrative and support service activities","77 Rental and leasing activities",,"See class 7740.",
"Leasing of intellectual property and similar products, except copyrighted works","7740","N Administrative and support service activities","77 Rental and leasing activities","774 Leasing of intellectual property and similar products, except copyrighted works","This class includes the activities of allowing others to use intellectual property products and similar products for which a royalty payment or licensing fee is paid to the owner of the product (i.e. the asset holder). The leasing of these products can ta","This class excludes:
- acquisition of rights and publishing, see divisions 58 and 59
- producing, reproducing and distributing copyrighted works (books, software, film), see divisions 58 and 59
- leasing of real estate, see group 681
- leasing of tangible"
"Employment activities","78","N Administrative and support service activities",,,"This division includes activities of listing employment vacancies and referring or placing applicants for employment, where the individuals referred or placed are not employees of the employment agencies, supplying workers to clients' businesses for limit",
"Activities of employment placement agencies","781","N Administrative and support service activities","78 Employment activities",,"See class 7810.",
"Activities of employment placement agencies","7810","N Administrative and support service activities","78 Employment activities","781 Activities of employment placement agencies","This class includes listing employment vacancies and referring or placing applicants for employment, where the individuals referred or placed are not employees of the employment agencies.

This class includes:
- personnel search, selection referral and pl","This class excludes:
- activities of personal theatrical or artistic agents or agencies, see 7490"
"Temporary employment agency activities","782","N Administrative and support service activities","78 Employment activities",,"See class 7820.",
"Temporary employment agency activities","7820","N Administrative and support service activities","78 Employment activities","782 Temporary employment agency activities","This class includes:
- supplying workers to clients' businesses for limited periods of time to temporarily replace or supplement the working force of the client, where the individuals provided are employees of the temporary help service unit

Units classi",
"Other human resources provision","783","N Administrative and support service activities","78 Employment activities",,"See class 7830.",
"Other human resources provision","7830","N Administrative and support service activities","78 Employment activities","783 Other human resources provision","This class includes:
- provision of human resources for client businesses

This provision of human resources is typically done on a long-term or permanent basis and the units classified here may perform a wide range of human resource and personnel managem","This class excludes:
- provision of human resources functions together with supervision or running of the business, see the class in the respective economic activity of that business
- provision of human resources to temporarily replace or supplement the "
"Travel agency, tour operator, reservation service and related activities","79","N Administrative and support service activities",,,"This division includes the activity of selling travel, tour, transportation and accommodation services to the general public and commercial clients and the activity of arranging and assembling tours that are sold through travel agencies or directly by age",
"Travel agency and tour operator activities","791","N Administrative and support service activities","79 Travel agency, tour operator, reservation service and related activities",,"This group includes the activities of agencies, primarily engaged in selling travel, tour, transportation and accommodation services to the general public and commercial clients and the activity of arranging and assembling tours that are sold through trav",
"Travel agency activities","7911","N Administrative and support service activities","79 Travel agency, tour operator, reservation service and related activities","791 Travel agency and tour operator activities","This class includes:
- activities of agencies primarily engaged in selling travel, tour, transportation and accommodation services to the general public and commercial clients",
"Tour operator activities","7912","N Administrative and support service activities","79 Travel agency, tour operator, reservation service and related activities","791 Travel agency and tour operator activities","This class includes:
- arranging and assembling tours that are sold through travel agencies or directly by tour operators. The tours may include any or all of the following:
* transportation
* accommodation
* food
* visits to museums, historical or cultur",
"Other reservation service and related activities","799","N Administrative and support service activities","79 Travel agency, tour operator, reservation service and related activities",,"See class 7990.",
"Other reservation service and related activities","7990","N Administrative and support service activities","79 Travel agency, tour operator, reservation service and related activities","799 Other reservation service and related activities","This class includes:
- provision of other travel-related reservation services:
* reservations for transportation, hotels, restaurants, car rentals, entertainment and sport etc.
- provision of time-share exchange services
- ticket sales activities for thea","This class excludes:
- activities of travel agencies and tour operators, see 7911, 7912
- organization and management of events such as meetings, conventions and conferences, see 8230"
"Security and investigation activities","80","N Administrative and support service activities",,,"This division includes security-related services such as: investigation and detective services; guard and patrol services; picking up and delivering money, receipts, or other valuable items with personnel and equipment to protect such properties while in ",
"Private security activities","801","N Administrative and support service activities","80 Security and investigation activities",,"See class 8010.",
"Private security activities","8010","N Administrative and support service activities","80 Security and investigation activities","801 Private security activities","This class includes the provision of one or more of the following: guard and patrol services, picking up and delivering money, receipts or other valuable items with personnel and equipment to protect such properties while in transit.

This class includes:","This class excludes:
- public order and safety activities, see 8423"
"Security systems service activities","802","N Administrative and support service activities","80 Security and investigation activities",,"See class 8020.",
"Security systems service activities","8020","N Administrative and support service activities","80 Security and investigation activities","802 Security systems service activities","This class includes:
- monitoring or remote monitoring of electronic security alarm systems, such as burglar and fire alarms, including their maintenance
- installing, repairing, rebuilding, and adjusting mechanical or electronic locking devices, safes an","This class excludes:
- installation of security systems, such as burglar and fire alarms, without later monitoring, see 4321
- selling security systems, mechanical or electronic locking devices, safes and security vaults, without monitoring, installation "
"Investigation activities","803","N Administrative and support service activities","80 Security and investigation activities",,"See class 8030.",
"Investigation activities","8030","N Administrative and support service activities","80 Security and investigation activities","803 Investigation activities","This class includes:
- investigation and detective service activities
- activities of all private investigators, independent of the type of client or purpose of investigation",
"Services to buildings and landscape activities","81","N Administrative and support service activities",,,"This division includes the provision of a number of general support services, such as the provision of a combination of support services within a client's facilities, the interior and exterior cleaning of buildings of all types, cleaning of industrial mac",
"Combined facilities support activities","811","N Administrative and support service activities","81 Services to buildings and landscape activities",,"See class 8110.",
"Combined facilities support activities","8110","N Administrative and support service activities","81 Services to buildings and landscape activities","811 Combined facilities support activities","This class includes:
- provision of a combination of support services within a client's facility, such as general interior cleaning, maintenance, trash disposal, guard and security, mail routing, reception, laundry and related services to support operatio","This class excludes:
- provision of only one of the support services (e.g. general interior cleaning services) or addressing only a single function (e.g. heating), see the appropriate class according to the service provided
- provision of management and o"
"Cleaning activities","812","N Administrative and support service activities","81 Services to buildings and landscape activities",,"This group includes the activities of general interior cleaning of all types of buildings, exterior cleaning of buildings, specialized cleaning activities for buildings or other specialized cleaning activities, cleaning of industrial machinery, cleaning o","This group excludes:
- agricultural pest control, see 0161
- cleaning of new buildings immediately after construction, 4330
- steam-cleaning, sand blasting and similar activities for building exteriors, see 4390
- carpet and rug shampooing, drapery and cu"
"General cleaning of buildings","8121","N Administrative and support service activities","81 Services to buildings and landscape activities","812 Cleaning activities","This class includes:
- general (non-specialized) cleaning of all types of buildings, such as:
* offices 
* houses or apartments
* factories 
* shops 
* institutions
- general (non-specialized) cleaning of other business and professional premises and multi","This class excludes:
- specialized interior cleaning activities, such as chimney cleaning, cleaning of fireplaces, stoves, furnaces, incinerators, boilers, ventilation ducts, exhaust units, see 8129"
"Other building and industrial cleaning activities","8129","N Administrative and support service activities","81 Services to buildings and landscape activities","812 Cleaning activities","This class includes:
- exterior cleaning of buildings of all types, including offices, factories, shops, institutions and other business and professional premises and multiunit residential buildings
- specialized cleaning activities for buildings such as ","This class excludes:
- agriculture pest control, see 0161
- cleaning of sewers and drains, see 3700
- automobile cleaning, car wash, see 4520"
"Landscape care and maintenance service activities","813","N Administrative and support service activities","81 Services to buildings and landscape activities",,"See class 8130.",
"Landscape care and maintenance service activities","8130","N Administrative and support service activities","81 Services to buildings and landscape activities","813 Landscape care and maintenance service activities","This class includes:
- planting, care and maintenance of:
* parks and gardens for:
** private and public housing
** public and semi-public buildings (schools, hospitals, administrative buildings, church buildings etc.)
** municipal grounds (parks, green a","This class excludes:
- commercial production and planting for commercial production of plants, trees, see divisions 01 and 02
- tree nurseries (except forest tree nurseries), see 0130
- maintenance of land to keep it in good condition for agricultural use"
"Office administrative, office support and other business support activities","82","N Administrative and support service activities",,,"This division includes the provision of a range of day-to-day office administrative services, as well as ongoing routine business support functions for others, on a contract or fee basis.
This division also includes all support service activities typicall",
"Office administrative and support activities","821","N Administrative and support service activities","82 Office administrative, office support and other business support activities",,"This group includes the provision of a range of day-to-day office administrative services, such as financial planning, billing and record keeping, personnel and physical distribution and logistics for others on a contract or fee basis.
This group includes",
"Combined office administrative service activities","8211","N Administrative and support service activities","82 Office administrative, office support and other business support activities","821 Office administrative and support activities","This class includes:
- provision of a combination of day-to-day office administrative services, such as reception, financial planning, billing and record keeping, personnel and physical distribution (mail services) and logistics for others on a contract o","This class excludes:
- provision of operating staff to carry out the complete operations of a business, see class according to the business/activity performed
- provision of only one particular aspect of these activities, see class according to that parti"
"Photocopying, document preparation and other specialized office support activities","8219","N Administrative and support service activities","82 Office administrative, office support and other business support activities","821 Office administrative and support activities","This class includes a variety of copying, document preparation and specialized office support activities. The document copying/printing activities included here cover only short-run type printing activities.

This class includes:
- document preparation
- ","This class excludes:
- printing of documents (offset printing, quick printing etc.), see 1811
- direct mail advertising, see 7310
- specialized stenotype services such as court reporting, see 8299
- public stenography services, see 8299"
"Activities of call centres","822","N Administrative and support service activities","82 Office administrative, office support and other business support activities",,"See class 8220.",
"Activities of call centres","8220","N Administrative and support service activities","82 Office administrative, office support and other business support activities","822 Activities of call centres","This class includes: 
- activities of inbound call centres, answering calls from clients by using human operators, automatic call distribution, computer telephone integration, interactive voice response systems or similar methods to receive orders, provid",
"Organization of conventions and trade shows","823","N Administrative and support service activities","82 Office administrative, office support and other business support activities",,"See class 8230.",
"Organization of conventions and trade shows","8230","N Administrative and support service activities","82 Office administrative, office support and other business support activities","823 Organization of conventions and trade shows","This class includes:
- organization, promotion and/or management of events, such as business and trade shows, conventions, conferences and meetings, whether or not including the management and provision of the staff to operate the facilities in which thes",
"Business support service activities n.e.c.","829","N Administrative and support service activities","82 Office administrative, office support and other business support activities",,"This group includes the activities of collection agencies, credit bureaus and all support activities typically provided to businesses not elsewhere classified.",
"Activities of collection agencies and credit bureaus","8291","N Administrative and support service activities","82 Office administrative, office support and other business support activities","829 Business support service activities n.e.c.","This class includes:
- collection of payments for claims and remittance of payments collected to the clients, such as bill or debt collection services
- compiling of information, such as credit and employment histories on individuals and credit histories ",
"Packaging activities","8292","N Administrative and support service activities","82 Office administrative, office support and other business support activities","829 Business support service activities n.e.c.","This class includes:
- packaging activities on a fee or contract basis, whether or not these involve an automated process:
* bottling of liquids, including beverages and food
* packaging of solids (blister packaging, foil-covered etc.)
* security packagin","This class excludes:
- manufacture of soft drinks and production of mineral water, see 1104
- packaging activities incidental to transport, see 5229"
