product_hs92_code_4d,product_hs92_name_4d,product_hs92_code_2d,product_hs92_name_2d,product_hs92_code_1d,product_hs92_name_1d
2826,Flourides,28,Inorganic chemicals,5,Chemicals
2827,"Chlorides, bromides, iodides etc.",28,Inorganic chemicals,5,Chemicals
2828,Hyopchlorites,28,Inorganic chemicals,5,Chemicals
2829,Sodium chlorate,28,Inorganic chemicals,5,Chemicals
2830,Sulfides; polysulfides,28,Inorganic chemicals,5,Chemicals
2831,Dithionites and sulfoxylates,28,Inorganic chemicals,5,Chemicals
2832,Sulfites,28,Inorganic chemicals,5,Chemicals
2833,Sulfates,28,Inorganic chemicals,5,Chemicals
2834,"Nitrites, nitrates",28,Inorganic chemicals,5,Chemicals
2835,Phosphates,28,Inorganic chemicals,5,Chemicals
2836,Carbonates,28,Inorganic chemicals,5,Chemicals
2837,Cyanides,28,Inorganic chemicals,5,Chemicals
2838,"Fulminates, cyanates and thiocyanates",28,Inorganic chemicals,5,Chemicals
2839,Silicates,28,Inorganic chemicals,5,Chemicals
2840,Borates,28,Inorganic chemicals,5,Chemicals
2841,Salts of oxometallic acids,28,Inorganic chemicals,5,Chemicals
2842,Other salts of acids,28,Inorganic chemicals,5,Chemicals
2843,Compounds of precious metals,28,Inorganic chemicals,5,Chemicals
2844,Uranium,28,Inorganic chemicals,5,Chemicals
2845,Non-radioactive isotopes,28,Inorganic chemicals,5,Chemicals
2846,Compounds of rare-earth metals,28,Inorganic chemicals,5,Chemicals
2847,Hydrogen peroxide,28,Inorganic chemicals,5,Chemicals
2848,Phosphides,28,Inorganic chemicals,5,Chemicals
2849,Carbides,28,Inorganic chemicals,5,Chemicals
2850,"Hydrides, nitrides, azides, silicides and borides",28,Inorganic chemicals,5,Chemicals
2851,"Inorganic compounds, liquid or compressed air",28,Inorganic chemicals,5,Chemicals
2901,Acyclic hydrocarbons,29,Organic chemicals,5,Chemicals
2902,Cyclic hydrocarbons,29,Organic chemicals,5,Chemicals
2903,Halogenated derivatives of hydrocarbons,29,Organic chemicals,5,Chemicals
2904,"Sulfonated, nitrated derivatives of hydrocarbons",29,Organic chemicals,5,Chemicals
2905,Acyclic alcohols,29,Organic chemicals,5,Chemicals
2906,Cyclic alcohols,29,Organic chemicals,5,Chemicals
2907,"Phenols, phenol-alcohols",29,Organic chemicals,5,Chemicals
2908,Derivatives of phenols,29,Organic chemicals,5,Chemicals
2909,Ethers,29,Organic chemicals,5,Chemicals
2910,Epoxides,29,Organic chemicals,5,Chemicals
2911,Acetals and hemiacetals,29,Organic chemicals,5,Chemicals
2912,Aldehydes,29,Organic chemicals,5,Chemicals
2913,Derivatives of aldehydes,29,Organic chemicals,5,Chemicals
2914,Ketones and quinones,29,Organic chemicals,5,Chemicals
2915,Saturated acyclic monocarboxylic acids,29,Organic chemicals,5,Chemicals
2916,Unsaturated acyclic monocarboxylic acids,29,Organic chemicals,5,Chemicals
2917,Polycarboxylic acids,29,Organic chemicals,5,Chemicals
2918,Carboxylic acids with additional oxygen function,29,Organic chemicals,5,Chemicals
2919,Phosporic esters,29,Organic chemicals,5,Chemicals
2920,Esters of other inorganic acids of nonmetals,29,Organic chemicals,5,Chemicals
2921,Amine-function compounds,29,Organic chemicals,5,Chemicals
2922,Oxygen-function amino-compounds,29,Organic chemicals,5,Chemicals
2923,Quaternary ammonium salts and hydroxides,29,Organic chemicals,5,Chemicals
2924,Carboxyamide-function compounds,29,Organic chemicals,5,Chemicals
2925,Carboxyimide-function compounds,29,Organic chemicals,5,Chemicals
