ciiu,ciiu_descripcion,ciiu_clases_comparten,clases_comparten,razon_empleo_total
1709,Fabricación de otros artículos de papel y cartón (fabricación de juntas de papel y cartón),2399,"322122,339999",0.1763366284758311
1709,Fabricación de otros artículos de papel y cartón (fabricación de juntas de papel y cartón),2420,322220,0.08675489184272508
1709,Fabricación de otros artículos de papel y cartón (fabricación de juntas de papel y cartón),2599,"322220,339999",0.08675489184272508
1709,Fabricación de otros artículos de papel y cartón (fabricación de juntas de papel y cartón),1811,323119,1.0038467021565658
1709,Fabricación de otros artículos de papel y cartón (fabricación de juntas de papel y cartón),8219,323119,1.0038467021565658
1709,Fabricación de otros artículos de papel y cartón (fabricación de juntas de papel y cartón),2022,339940,0.05358820425903158
1709,Fabricación de otros artículos de papel y cartón (fabricación de juntas de papel y cartón),2817,339940,0.05358820425903158
1709,Fabricación de otros artículos de papel y cartón (fabricación de juntas de papel y cartón),2819,"339940,339999",0.05358820425903158
1709,Fabricación de otros artículos de papel y cartón (fabricación de juntas de papel y cartón),3290,"339940,339999",0.05358820425903158
2399,Fabricación de otros productos minerales no metálicos n.c.p. (fabricación de juntas de minerales no metálicos),2011,325999,0.1545991668118674
2399,Fabricación de otros productos minerales no metálicos n.c.p. (fabricación de juntas de minerales no metálicos),1701,322122,0.1763366284758311
2399,Fabricación de otros productos minerales no metálicos n.c.p. (fabricación de juntas de minerales no metálicos),1702,322122,0.1763366284758311
2399,Fabricación de otros productos minerales no metálicos n.c.p. (fabricación de juntas de minerales no metálicos),1709,"322122,339999",0.1763366284758311
2399,Fabricación de otros productos minerales no metálicos n.c.p. (fabricación de juntas de minerales no metálicos),2022,325999,0.1545991668118674
2399,Fabricación de otros productos minerales no metálicos n.c.p. (fabricación de juntas de minerales no metálicos),2029,325999,0.1545991668118674
2399,Fabricación de otros productos minerales no metálicos n.c.p. (fabricación de juntas de minerales no metálicos),2023,"325999,339999",0.1545991668118674
2399,Fabricación de otros productos minerales no metálicos n.c.p. (fabricación de juntas de minerales no metálicos),2817,325999,0.1545991668118674
2399,Fabricación de otros productos minerales no metálicos n.c.p. (fabricación de juntas de minerales no metálicos),8292,325999,0.1545991668118674
2399,Fabricación de otros productos minerales no metálicos n.c.p. (fabricación de juntas de minerales no metálicos),2395,327999,0.00665283299805167
2399,Fabricación de otros productos minerales no metálicos n.c.p. (fabricación de juntas de minerales no metálicos),2310,327999,0.00665283299805167
2399,Fabricación de otros productos minerales no metálicos n.c.p. (fabricación de juntas de minerales no metálicos),3211,327999,0.00665283299805167
2399,Fabricación de otros productos minerales no metálicos n.c.p. (fabricación de juntas de minerales no metálicos),2813,336340,0.05003027891941421
2420,Fabricación de metales preciosos básicos y de otros metales no ferrosos (fabricación de tubos y conexiones de metales no ferrosos),1399,322220,0.08675489184272508
2420,Fabricación de metales preciosos básicos y de otros metales no ferrosos (fabricación de tubos y conexiones de metales no ferrosos),2220,322220,0.08675489184272508
2420,Fabricación de metales preciosos básicos y de otros metales no ferrosos (fabricación de tubos y conexiones de metales no ferrosos),1701,322220,0.08675489184272508
2420,Fabricación de metales preciosos básicos y de otros metales no ferrosos (fabricación de tubos y conexiones de metales no ferrosos),1702,322220,0.08675489184272508
2420,Fabricación de metales preciosos básicos y de otros metales no ferrosos (fabricación de tubos y conexiones de metales no ferrosos),1709,322220,0.08675489184272508
2420,Fabricación de metales preciosos básicos y de otros metales no ferrosos (fabricación de tubos y conexiones de metales no ferrosos),2023,332999,0.5765544904795036
2420,Fabricación de metales preciosos básicos y de otros metales no ferrosos (fabricación de tubos y conexiones de metales no ferrosos),2410,"332999,332910",0.5765544904795036
2420,Fabricación de metales preciosos básicos y de otros metales no ferrosos (fabricación de tubos y conexiones de metales no ferrosos),2593,332999,0.5765544904795036
2420,Fabricación de metales preciosos básicos y de otros metales no ferrosos (fabricación de tubos y conexiones de metales no ferrosos),2819,332910,0.29250532774950255
2420,Fabricación de metales preciosos básicos y de otros metales no ferrosos (fabricación de tubos y conexiones de metales no ferrosos),2812,332910,0.29250532774950255
2420,Fabricación de metales preciosos básicos y de otros metales no ferrosos (fabricación de tubos y conexiones de metales no ferrosos),2813,332910,0.29250532774950255
2420,Fabricación de metales preciosos básicos y de otros metales no ferrosos (fabricación de tubos y conexiones de metales no ferrosos),2520,332999,0.5765544904795036
2599,Fabricación de otros productos elaborados de metal n.c.p. (fabricación de marcos de metal),1399,"322220,339999",0.08675489184272508
2599,Fabricación de otros productos elaborados de metal n.c.p. (fabricación de marcos de metal),1392,337920,0.001973917482938408
2599,Fabricación de otros productos elaborados de metal n.c.p. (fabricación de marcos de metal),1701,322220,0.08675489184272508
2599,Fabricación de otros productos elaborados de metal n.c.p. (fabricación de marcos de metal),1702,322220,0.08675489184272508
2599,Fabricación de otros productos elaborados de metal n.c.p. (fabricación de marcos de metal),1709,"322220,339999",0.08675489184272508
2599,Fabricación de otros productos elaborados de metal n.c.p. (fabricación de marcos de metal),2023,"332999,339999",0.5765544904795036
2599,Fabricación de otros productos elaborados de metal n.c.p. (fabricación de marcos de metal),2591,332110,0.15389245561427217
2599,Fabricación de otros productos elaborados de metal n.c.p. (fabricación de marcos de metal),2593,"337920,332999,332212",0.001973917482938408
2599,Fabricación de otros productos elaborados de metal n.c.p. (fabricación de marcos de metal),2511,332320,0.32130990138941856
2599,Fabricación de otros productos elaborados de metal n.c.p. (fabricación de marcos de metal),3099,332610,0.09582029065325702
2599,Fabricación de otros productos elaborados de metal n.c.p. (fabricación de marcos de metal),2520,332999,0.5765544904795036
2599,Fabricación de otros productos elaborados de metal n.c.p. (fabricación de marcos de metal),2826,339992,0.02753736735457285
2599,Fabricación de otros productos elaborados de metal n.c.p. (fabricación de marcos de metal),3290,"339992,339999",0.02753736735457285
